,0,columna_limpia
6898,cuts,cuts
6899,target,target
6900,price,price
6901,to,
6902,from,
6903,marvell,marvell
6904,technology,technology
6905,inc,inc
6906,mrvl.o,mrvl.o
6907,deutsche,deutsche
6908,bank,bank
6909,cuts,cuts
6910,target,target
6911,price,price
6912,to,
6913,from,
6914,mastercard,mastercard
6915,inc,inc
6916,ma.n,ma.n
6917,jefferies,jefferies
6918,raises,raises
6919,target,target
6920,price,price
6921,to,
6922,from,
6923,mastercard,mastercard
6924,inc,inc
6925,ma.n,ma.n
6926,jp,jp
6927,morgan,morgan
6928,cuts,cuts
6929,target,target
6930,price,price
6931,to,
6932,from,
6933,maxlinear,maxlinear
6934,inc,inc
6935,mxl.o,mxl.o
6936,deutsche,deutsche
6937,bank,bank
6938,cuts,cuts
6939,target,target
6940,price,price
6941,to,
6942,from,
6943,mettler-toledo,mettler-toledo
6944,international,international
6945,inc,inc
6946,mtd.n,mtd.n
6947,ubs,ubs
6948,initiates,initiates
6949,with,
6950,neutral,neutral
6951,rating,rating
6952,pt,pt
6953,mfa,mfa
6954,financial,financial
6955,inc,inc
6956,mfa.n,mfa.n
6957,credit,credit
6958,suisse,suisse
6959,cuts,cuts
6960,target,target
6961,price,price
6962,to,
6963,from,
6964,mgm,mgm
6965,resorts,resorts
6966,international,international
6967,mgm.n,mgm.n
6968,truist,truist
6969,securities,securities
6970,cuts,cuts
6971,target,target
6972,price,price
6973,to,
6974,from,
6975,mid-america,mid-america
6976,apartment,apartment
6977,communities,communities
6978,inc,inc
6979,maa.n,maa.n
6980,piper,piper
6981,sandler,sandler
6982,cuts,cuts
6983,pt,pt
6984,to,
6985,from,
6986,monarch,monarch
6987,casino,casino
6988,resort,resort
6989,inc,inc
6990,mcri.o,mcri.o
6991,jefferies,jefferies
6992,cuts,cuts
6993,target,target
6994,price,price
6995,to,
6996,from,
6997,monarch,monarch
6998,casino,casino
6999,resort,resort
7000,inc,inc
7001,mcri.o,mcri.o
7002,truist,truist
7003,securities,securities
7004,cuts,cuts
7005,target,target
7006,to,
7007,from,
7008,monolithic,monolithic
7009,power,power
7010,systems,systems
7011,inc,inc
7012,mpwr.o,mpwr.o
7013,deutsche,deutsche
7014,bank,bank
7015,cuts,cuts
7016,pt,pt
7017,to,
7018,from,
7019,morphic,morphic
7020,holding,holding
7021,inc,inc
7022,morf.o,morf.o
7023,svb,svb
7024,securities,securities
7025,starts,starts
7026,with,
7027,outperform,outperform
7028,rating,rating
7029,pt,pt
7030,murphy,murphy
7031,oil,oil
7032,corp,corp
7033,mur.n,mur.n
7034,mkm,mkm
7035,partners,partners
7036,assumes,assumes
7037,coverage,coverage
7038,with,
7039,buy,buy
7040,rating,rating
7041,pt,pt
7042,murphy,murphy
7043,usa,usa
7044,inc,inc
7045,musa.n,musa.n
7046,raymond,raymond
7047,james,james
7048,raises,raises
7049,target,target
7050,price,price
7051,to,
7052,from,
7053,navitas,navitas
7054,semiconductor,semiconductor
7055,corp,corp
7056,nvts.o,nvts.o
7057,deutsche,deutsche
7058,bank,bank
7059,cuts,cuts
7060,target,target
7061,price,price
7062,to,
7063,from,
7064,ncr,ncr
7065,corp,corp
7066,ncr.n,ncr.n
7067,stephens,stephens
7068,cuts,cuts
7069,target,target
7070,price,price
7071,to,
7072,from,
7073,neogenomics,neogenomics
7074,inc,inc
7075,neo.o,neo.o
7076,bofa,bofa
7077,global,global
7078,research,research
7079,cuts,cuts
7080,price,price
7081,objective,objective
7082,to,
7083,from,
7084,netflix,netflix
7085,inc,inc
7086,nflx.o,nflx.o
7087,deutsche,deutsche
7088,bank,bank
7089,cuts,cuts
7090,target,target
7091,price,price
7092,to,
7093,from,
7094,netflix,netflix
7095,inc,inc
7096,nflx.o,nflx.o
7097,jefferies,jefferies
7098,cuts,cuts
7099,target,target
7100,price,price
7101,to,
7102,from,
7103,netflix,netflix
7104,inc,inc
7105,nflx.o,nflx.o
7106,jp,jp
